Biotic (Y/N),fCO2,fCO,fH2,fCH4,fO2,fO3,fN2,fH2O,Pressure (bar),Stellar Mass,,Temp,Reference/Notes,,,
Y,1.00E-02,2.82E-06,,2.49E-04,2.10E-01,6.42E-09,7.75E-01,4.50E-03,1,0.65,,272.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.62E-06,,2.73E-04,5.00E-02,3.63E-09,9.35E-01,4.40E-03,1,0.65,,272,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.85E-06,,2.25E-04,5.00E-03,1.53E-09,9.81E-01,4.09E-03,1,0.65,,271.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.43E-04,,1.11E-03,5.00E-04,1.64E-09,9.84E-01,4.61E-03,1,0.65,,272.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.38E-07,,7.26E-05,1.00E-01,5.40E-09,8.88E-01,2.29E-03,1,0.65,,264.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.75E-06,,3.41E-04,1.00E-02,1.79E-09,9.75E-01,4.19E-03,1,0.65,,271.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.51E-06,,9.39E-04,1.00E-03,6.51E-10,9.83E-01,5.15E-03,1,0.65,,273.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.42E-04,,1.20E-03,1.00E-04,8.32E-10,9.86E-01,2.97E-03,1,0.65,,267.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.26E-06,,4.06E-04,2.10E-01,6.14E-09,7.75E-01,4.72E-03,1,0.65,,272.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.67E-06,,4.02E-04,5.00E-02,3.50E-09,9.35E-01,4.62E-03,1,0.65,,272.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.67E-06,,3.19E-04,5.00E-03,1.56E-09,9.80E-01,4.63E-03,1,0.65,,272.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.40E-04,,1.20E-03,5.00E-04,1.53E-09,9.84E-01,4.08E-03,1,0.65,,271.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.52E-07,,2.66E-05,1.00E-01,4.90E-09,8.87E-01,3.45E-03,1,0.65,,269,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.60E-07,,5.09E-05,1.00E-02,2.33E-09,9.76E-01,3.53E-03,1,0.65,,269.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.16E-06,,6.52E-05,1.00E-03,1.66E-09,9.85E-01,4.16E-03,1,0.65,,271.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.96E-06,,1.08E-04,1.00E-04,1.11E-09,9.86E-01,3.68E-03,1,0.65,,269.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.60E-07,,1.93E-05,2.10E-01,6.27E-09,7.77E-01,3.36E-03,1,0.65,,268.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.05E-07,,3.22E-05,5.00E-02,3.83E-09,9.37E-01,3.45E-03,1,0.65,,269,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.28E-07,,5.30E-05,5.00E-03,1.83E-09,9.82E-01,3.41E-03,1,0.65,,268.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.72E-07,,5.30E-05,5.00E-04,1.32E-09,9.85E-01,3.95E-03,1,0.65,,270.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.41E-06,,5.76E-04,1.00E-01,4.55E-09,8.84E-01,4.96E-03,1,0.65,,273.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.66E-06,,4.47E-04,1.00E-02,1.77E-09,9.75E-01,4.52E-03,1,0.65,,272.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.82E-06,,3.31E-04,1.00E-03,8.29E-10,9.84E-01,4.39E-03,1,0.65,,272,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.22E-04,,1.22E-03,1.00E-04,8.72E-10,9.85E-01,3.10E-03,1,0.65,,267.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.78E-06,,5.81E-04,2.10E-01,5.89E-09,7.75E-01,4.91E-03,1,0.65,,273.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.84E-06,,5.55E-04,5.00E-02,3.32E-09,9.35E-01,4.70E-03,1,0.65,,272.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.28E-06,,4.05E-04,5.00E-03,1.38E-09,9.80E-01,4.44E-03,1,0.65,,272,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.21E-04,,1.22E-03,5.00E-04,1.52E-09,9.84E-01,4.04E-03,1,0.65,,270.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.18E-07,,1.29E-05,1.00E-01,6.95E-09,8.88E-01,1.94E-03,1,0.85,,262.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.12E-07,,1.26E-05,1.00E-02,3.40E-09,9.78E-01,1.89E-03,1,0.85,,262.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.13E-07,,1.09E-05,1.00E-03,3.30E-09,9.87E-01,1.73E-03,1,0.85,,261.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.47E-07,,1.10E-05,1.00E-04,2.38E-09,9.88E-01,2.29E-03,1,0.85,,264.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.48E-08,,8.33E-06,2.10E-01,1.05E-08,7.78E-01,1.90E-03,1,0.85,,262.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.44E-07,,1.61E-05,5.00E-02,4.89E-09,9.38E-01,1.95E-03,1,0.85,,262.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.06E-07,,1.17E-05,5.00E-03,3.14E-09,9.83E-01,1.86E-03,1,0.85,,262,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.56E-07,,1.16E-05,5.00E-04,3.35E-09,9.88E-01,1.82E-03,1,0.85,,261.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.23E-06,,1.42E-04,1.00E-01,4.61E-09,8.87E-01,2.47E-03,1,0.85,,265.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.99E-07,,1.05E-04,1.00E-02,1.63E-09,9.78E-01,2.34E-03,1,0.85,,264.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.48E-07,,7.47E-05,1.00E-03,1.68E-09,9.86E-01,2.84E-03,1,0.85,,266.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.40E-07,,6.92E-05,1.00E-04,8.36E-10,9.87E-01,2.66E-03,1,0.85,,266,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.15E-06,,1.28E-04,2.10E-01,6.56E-09,7.77E-01,2.42E-03,1,0.85,,264.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.20E-06,,1.46E-04,5.00E-02,3.05E-09,9.37E-01,2.38E-03,1,0.85,,264.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.81E-07,,9.11E-05,5.00E-03,1.62E-09,9.83E-01,2.17E-03,1,0.85,,263.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.55E-07,,7.08E-05,5.00E-04,1.70E-09,9.87E-01,1.99E-03,1,0.85,,262.7,Giada N. Arney 2019 ApJL,,,
